,0,1,2,3,4,5,6,7,8
LINK,KLV(0.977),BOLT(0.842),NWC(0.812),EOSC(0.733),CWS(0.704),RFUEL(0.667),LAYER(0.667),MSWAP(0.457),SYLO(0.449)
KLV,LINK(0.977),BOLT(0.876),NWC(0.871),EOSC(0.829),LAYER(0.727),RFUEL(0.643),CWS(0.618),SYLO(0.523),MSWAP(0.502)
BOLT,KLV(0.876),LINK(0.842),NWC(0.774),EOSC(0.77),LAYER(0.766),CWS(0.759),MSWAP(0.724),RFUEL(0.583),SYLO(0.557)
NWC,EOSC(0.891),KLV(0.871),RFUEL(0.851),LAYER(0.826),LINK(0.812),SYLO(0.786),BOLT(0.774),CWS(0.418),MSWAP(0.363)
EOSC,NWC(0.891),KLV(0.829),BOLT(0.77),LAYER(0.749),LINK(0.733),SYLO(0.696),RFUEL(0.654),MSWAP(0.553),CWS(0.323)
CWS,BOLT(0.759),LINK(0.704),MSWAP(0.645),KLV(0.618),LAYER(0.535),RFUEL(0.515),NWC(0.418),SYLO(0.362),EOSC(0.323)
LAYER,SYLO(0.857),NWC(0.826),BOLT(0.766),EOSC(0.749),KLV(0.727),RFUEL(0.67),LINK(0.667),CWS(0.535),MSWAP(0.524)
RFUEL,NWC(0.851),SYLO(0.779),LAYER(0.67),LINK(0.667),EOSC(0.654),KLV(0.643),BOLT(0.583),CWS(0.515),MSWAP(0.26)
MSWAP,BOLT(0.724),CWS(0.645),EOSC(0.553),LAYER(0.524),KLV(0.502),LINK(0.457),SYLO(0.449),NWC(0.363),RFUEL(0.26)
SYLO,LAYER(0.857),NWC(0.786),RFUEL(0.779),EOSC(0.696),BOLT(0.557),KLV(0.523),LINK(0.449),MSWAP(0.449),CWS(0.362)
